participantID,task,duration_s,n_channels,bad_channels,file_path
11,27,81.0,126,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_27\11_27_1.fif
11,27,66.0,126,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_27\11_27_2.fif
11,3,78.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_3\11_3_1.fif
11,3,79.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_3\11_3_2.fif
11,4,105.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_4\11_4_1.fif
11,4,75.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_4\11_4_2.fif
11,5,99.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_5\11_5_1.fif
11,5,72.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_5\11_5_2.fif
11,6,186.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_6\11_6_1.fif
11,6,146.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_6\11_6_2.fif
11,7,38.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_7\11_7_1.fif
11,7,24.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_7\11_7_2.fif
11,8,126.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_8\11_8_1.fif
11,8,115.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_8\11_8_2.fif
11,9,48.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_9\11_9_1.fif
11,9,24.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_11\Tarea_9\11_9_2.fif
12,1,163.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_1\12_1_1.fif
12,1,46.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_1\12_1_2.fif
12,10,95.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_10\12_10_1.fif
12,10,84.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_10\12_10_2.fif
12,11,154.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_11\12_11_1.fif
12,11,186.0,128,,C:\Users\HP\Documents\GitHub\Neurociencias-2026-1\S06_proyecto\datasetp\DESTINATION\eeg_preprocesado\Sujeto_12\Tarea_11\12_11_2.fif
